user_id,name,email,status,role
1,Allison Hill,allison.hill1@company.com,ACTIVE,User
2,Noah Rhodes,noah.rhodes2@company.com,ACTIVE,User
3,Angie Henderson,angie.henderson3@company.com,ACTIVE,Server Operator
4,Daniel Wagner,daniel.wagner4@company.com,DISABLED,Account Operator
5,Cristian Santos,cristian.santos5@company.com,ACTIVE,Domain Admin
6,Connie Lawrence,connie.lawrence6@company.com,ACTIVE,User
7,Abigail Shaffer,abigail.shaffer7@company.com,ACTIVE,Server Operator
8,Gina Moore,gina.moore8@company.com,DISABLED,User
9,Gabrielle Davis,gabrielle.davis9@company.com,ACTIVE,User
10,Ryan Munoz,ryan.munoz10@company.com,DISABLED,Server Operator
11,Monica Herrera,monica.herrera11@company.com,ACTIVE,Enterprise Admin
12,Jamie Arnold,jamie.arnold12@company.com,ACTIVE,User
13,Lisa Hensley,lisa.hensley13@company.com,ACTIVE,Domain Admin
14,Michele Williams,michele.williams14@company.com,DISABLED,User
15,Dylan Miller,dylan.miller15@company.com,ACTIVE,Backup Operator
16,Brian Ramirez,brian.ramirez16@company.com,DISABLED,User
17,Holly Wood,holly.wood17@company.com,ACTIVE,Server Operator
18,Derek Zuniga,derek.zuniga18@company.com,DISABLED,User
19,Lisa Jackson,lisa.jackson19@company.com,ACTIVE,User
20,Carla Gray,carla.gray20@company.com,ACTIVE,User
21,Margaret Hawkins DDS,margaret.dds21@company.com,ACTIVE,User
22,Patty Perez,patty.perez22@company.com,DISABLED,User
23,Ethan Adams,ethan.adams23@company.com,DISABLED,User
24,Tommy Walter,tommy.walter24@company.com,ACTIVE,User
25,Matthew Foster,matthew.foster25@company.com,ACTIVE,User
26,Judy Baker,judy.baker26@company.com,ACTIVE,User
27,Justin Baker,justin.baker27@company.com,ACTIVE,User
28,Stephanie Ross,stephanie.ross28@company.com,DISABLED,Domain Admin
29,Zachary Hicks,zachary.hicks29@company.com,ACTIVE,Server Operator
30,Anthony Rodriguez,anthony.rodriguez30@company.com,DISABLED,User
31,Rebecca Henderson,rebecca.henderson31@company.com,ACTIVE,Server Operator
32,James Ferrell,james.ferrell32@company.com,ACTIVE,User
33,Tricia Valencia,tricia.valencia33@company.com,ACTIVE,User
34,Nathan Maldonado,nathan.maldonado34@company.com,DISABLED,Server Operator
35,Debra Davidson,debra.davidson35@company.com,ACTIVE,User
36,Jeffrey Chavez,jeffrey.chavez36@company.com,ACTIVE,User
37,Sherri Baker,sherri.baker37@company.com,ACTIVE,User
38,Cassandra Gaines,cassandra.gaines38@company.com,ACTIVE,User
39,Elizabeth Fowler,elizabeth.fowler39@company.com,ACTIVE,User
40,Brittany Farmer,brittany.farmer40@company.com,ACTIVE,User
41,Paula Moreno,paula.moreno41@company.com,DISABLED,User
42,Fred Smith,fred.smith42@company.com,ACTIVE,User
43,Sherry Decker,sherry.decker43@company.com,ACTIVE,Domain Admin
44,Anthony Humphrey,anthony.humphrey44@company.com,ACTIVE,User
45,Angelica Tucker,angelica.tucker45@company.com,DISABLED,User
46,Philip Cannon,philip.cannon46@company.com,DISABLED,User
47,John Pierce,john.pierce47@company.com,ACTIVE,Account Operator
48,Shane Henderson,shane.henderson48@company.com,ACTIVE,User
49,Joshua Blair,joshua.blair49@company.com,ACTIVE,Backup Operator
50,Eric Carney,eric.carney50@company.com,ACTIVE,User
51,Jessica Holmes,jessica.holmes51@company.com,DISABLED,User
